,product_name,price,varietal,rating,rating_count,appellation,region,year
1817,Domaine Claude Dugat Charmes Chambertin,599,Pinot Noir,0.0,0.0,[' Bordeaux'], France,2005
1818,Chateau Bellefont Belcier ,45,Bordeaux Red Blends,0.0,0.0,['Santa Cruz Mountains'], California,2019
1819,Ridge Monte Bello ,1099,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2017
1820,Denis Mortet Gevrey-Chambertin Lavaux St-Jacques Premier Cru,259,Pinot Noir,0.0,0.0,[' Bordeaux'], France,2017
1821,Chateau Canon ,299,Bordeaux Red Blends,0.0,0.0,[' Bordeaux'], France,2018
1822,Chateau Brown ,34,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2018
1823,Domaine Matrot Meursault Les Chevalieres,74,Chardonnay,0.0,0.0,[' Burgundy'], France,2018
1824,Domaine Robert Chevillon Nuits-St-Georges Les Vaucrains Premier Cru,204,Pinot Noir,0.0,0.0,[' Burgundy'], France,2017
1825,Domaine Robert Groffier Chambertin Clos de Beze Grand Cru,670,Pinot Noir,0.0,0.0,[' Rhone'], France,2017
1826,M. Chapoutier Hermitage Monier de la Sizeranne,149,Syrah/Shiraz,4.6,14.0,[' Bordeaux'], France,2012
1827,Chateau Pavie,429,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2017
1829,Vina Cobos Volturno,239,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2016
1830,Louis Jadot Chambolle-Musigny Les Baudes Domaine Gagey Premier Cru,139,Pinot Noir,4.9,46.0,[' Burgundy'], France,2017
1831,Domaine de Montille Volnay Les Champans Premier Cru,154,Pinot Noir,0.0,0.0,[' Burgundy'], France,2017
1832,Joseph Drouhin Chambertin-Clos de Beze Grand Cru,749,Pinot Noir,0.0,0.0,[' Burgundy'], France,2018
1833,Domaine Leflaive Puligny-Montrachet Les Folatieres Premier Cru,449,Chardonnay,0.0,0.0,['Napa Valley'], California,2018
1834,Colgin IX Estate Red,439,Bordeaux Red Blends,0.0,0.0,['Tuscany'], Italy,2014
1835,Masseto ,1999,Merlot,0.0,0.0,[' Napa Valley'], California,2016
1836,Staglin Cabernet Sauvignon,285,Cabernet Sauvignon,0.0,0.0,['Nahe'], Germany,2016
1837,Donnhoff Oberhauser Leistenberg Riesling Kabinett,28,Riesling,0.0,0.0,[' Bordeaux'], France,2019
1838,Tour Saint Christophe,37,Bordeaux Red Blends,4.2,46.0,[' Burgundy'], France,2017
1839,Arnaud Mortet Gevrey-Chambertin Cuvee de Tres Vieilles Vignes,124,Pinot Noir,0.0,0.0,['Napa Valley'], California,2018
1840,Kapcsandy Family Winery State Lane Cabernet Sauvignon Grand Vin ,849,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2007
1841,Joseph Drouhin Grands-Echezeaux Grand Cru,599,Pinot Noir,0.0,0.0,[' Bordeaux'], France,2015
1842,Chateau Olivier Blanc,46,Bordeaux White Blends,4.0,8.0,[' Central Coast'], California,2017
1843,Paul Lato Lumiere Larner Vineyard Grenache,79,Grenache,0.0,0.0,[' Napa Valley'], California,2018
1844,Oakville Winegrowers Association Oakville Cuvee ,1799,Cabernet Sauvignon,0.0,0.0,['Douro'], Portugal,2015
1845,Graham's Vintage Port,99,Port,4.5,12.0,[' Napa Valley'], California,2011
1846,Opus One ,899,Bordeaux Red Blends,0.0,0.0,[' South Australia'], Australia,2012
1847,Hickinbotham Trueman Cabernet Sauvignon,74,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2017
1848,Diamond Creek Gravelly Meadow Cabernet Sauvignon,249,Cabernet Sauvignon,0.0,0.0,[' Tuscany'], Italy,2017
1849,Tenuta Guado al Tasso ,299,Bordeaux Red Blends,0.0,0.0,[' Burgundy'], France,2014
1850,Chanson Pere & Fils Clos de Vougeot Grand Cru,299,Pinot Noir,0.0,0.0,[' Napa Valley'], California,2017
1851,Scarecrow Cabernet Sauvignon ,1949,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2015
1853,Chateau Giscours ,139,Bordeaux Red Blends,0.0,0.0,['Santa Cruz Mountains'], California,2018
1854,Mount Eden Vineyards Estate Cabernet Sauvignon,129,Cabernet Sauvignon,0.0,0.0,['Napa Valley'], California,2010
1857,Sine Qua Non Tectumque ,479,Other White Blends,0.0,0.0,[' Bordeaux'], France,2017
