,product_name,price,varietal,origin,rating,rating_count
19291,Produttori del Barbaresco Barbaresco (3 Liter) 2016,239,Nebbiolo,"Barbaresco, Piedmont, Italy",0.0,0
19292,Aubert Larry Hyde & Sons Vineyard Chardonnay 2008,149,Chardonnay,"Carneros, California",0.0,0
19293,Torbreck Descendant Shiraz 2014,125,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19294,Jim Barry The Armagh Shiraz 2016,239,Syrah/Shiraz,"Clare Valley, South Australia, Australia",0.0,0
19295,Torbreck RunRig 2010,199,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19296,Pol Roger Blanc de Blancs 2002,135,Vintage Sparkling Wine,"Champagne, France",0.0,0
19297,Caymus Napa Valley Cabernet Sauvignon (1.5 Liter Magnum - signed) 2011,399,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19298,Booker Vineyard Oublie 2015,89,Rhone Red Blends,"Paso Robles, Central Coast, California",0.0,0
19299,Amici Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon 2015,258,Cabernet Sauvignon,"Oakville, Napa Valley, California",0.0,0
19300,Chateau Montelena Estate Cabernet Sauvignon 1991,249,Cabernet Sauvignon,"Calistoga, Napa Valley, California",0.0,0
19301,Ornellaia Masseto (1.5 Liter Magnum) 2012,"1,499",Merlot,"Tuscany, Italy",0.0,0
19302,Domaine Bachelet-Monnot Puligny-Montrachet Les Folatieres Premier Cru 2018,174,Chardonnay,"Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
19303,OVID 2013,259,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19304,Flora Springs Rutherford Hillside Reserve Cabernet Sauvignon 1994,119,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19305,Andrew Will Winery Sorella 2015,89,Bordeaux Red Blends,"Columbia Valley, Washington",4.2,7
19306,DeLille Chaleur Estate Red 2001,59,Bordeaux Red Blends,"Columbia Valley, Washington",0.0,0
19307,Arietta Variation One 2007,109,Other Red Blends,"Napa Valley, California",0.0,0
19308,Duemani Cabernet Franc 2012,139,Cabernet Franc,"Tuscany, Italy",0.0,0
19309,Horsepower Vineyards The Tribe Vineyard Syrah 2016,164,Syrah/Shiraz,"Walla Walla Valley, Columbia Valley, Washington",0.0,0
19310,Jean-Luc Colombo Cornas Les Ruchets 2009,79,Syrah/Shiraz,"Cornas, Rhone, France",0.0,0
19311,Louis Latour Corton-Charlemagne Grand Cru (1.5 Liter Magnum) 2016,318,Chardonnay,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
19312,Domaine de Marcoux Chateauneuf-du-Pape Vieilles Vignes 2011,185,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
19313,Pine Ridge Stags Leap Cabernet Sauvignon 1998,64,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19314,Bodegas Fernando Remirez de Ganuza Rioja Reserva 1995,165,Tempranillo,"Rioja, Spain",0.0,0
19315,Williams Selyem Estate Vineyard Pinot Noir 2018,149,Pinot Noir,"Russian River, Sonoma County, California",0.0,0
19316,Sandrone Barolo Cannubi Boschis (1.5 Liter Magnum) 2012,259,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
19317,Branson Coach House Shiraz 2002,109,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19318,Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon (1.5 Liter Magnum) 2014,319,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19319,Gaja Barbaresco 2014,189,Nebbiolo,"Barbaresco, Piedmont, Italy",0.0,0
19320,Etude Napa Valley Estate Cabernet Sauvignon 2002,89,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19321,Yalumba The Octavius Old Vine Shiraz 2003,99,Syrah/Shiraz,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19322,El Enemigo Gran Enemigo Agrelo Single Vineyard 2014,109,Cabernet Franc,"Mendoza, Argentina",4.8,5
19323,Aubert UV Vineyard Pinot Noir (1.5L Magnum) 2013,329,Pinot Noir,"Sonoma Coast, Sonoma County, California",0.0,0
19324,Elderton Ode To Lorraine 2005,48,Other Red Blends,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19325,Guarachi Family Wines Cabernet Sauvignon 2012,79,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19326,Seven Stones Cabernet Sauvignon 2009,149,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19327,Chateau Smith Haut Lafitte Blanc 2011,105,Bordeaux White Blends,"Pessac-Leognan, Bordeaux, France",0.0,0
19328,Olivier Bernstein Clos Vougeot Grand Cru 2015,400,Pinot Noir,"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0
19329,Sbragia Wall Vineyard Cabernet Sauvignon 2007,109,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19330,Robert Craig Cellars Howell Mountain Cabernet Sauvignon 2010,90,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19331,Bond St. Eden (1.5 Liter Magnum) 2008,679,Bordeaux Red Blends,"Oakville, Napa Valley, California",0.0,0
19332,Jerome Chezeaux Clos Vougeot Grand Cru 2009,115,Pinot Noir,"Burgundy, France",0.0,0
19333,Domaine Jamet Cote-Rotie 2012,135,Syrah/Shiraz,"Cote Rotie, Rhone, France",0.0,0
19334,Michele Satta Piastraia 2015,70,Other Red Blends,"Tuscany, Italy",0.0,0
19335,Catena Zapata Nicolas (1.5 Liter Magnum) 2005,199,Bordeaux Red Blends,"Mendoza, Argentina",0.0,0
19336,Chateau Boswell Red 2014,149,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19337,Abreu Vineyards Thorevilos 2015,649,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19338,Hourglass Cabernet Sauvignon 2015,184,Cabernet Sauvignon,"Napa Valley, California",0.0,0
